cell_id,lat_cell,lng_cell,cafes,avg_rating,share_high,avg_sentiment
"25.274,55.322",25.274,55.322,1,4.6,0.0,0.5150909090909092
"25.274,55.331",25.274,55.331,2,4.5,0.5,0.4549355158730159
"25.274,55.332",25.274,55.332,3,4.2,0.0,0.3218763645525551
"25.274,55.333",25.274,55.333,1,4.6,0.0,0.2116867049617049
"25.275,55.307",25.275,55.307,1,4.7,1.0,0.32625
"25.275,55.329",25.275,55.329,1,4.0,1.0,0.3130191979737434
"25.275,55.33",25.275,55.33,1,4.1,0.0,
"25.275,55.332",25.275,55.332,3,4.033333333333334,0.0,0.13924924242424247
"25.275,55.333",25.275,55.333,1,4.2,0.0,
"25.275,55.335",25.275,55.335,3,4.1,0.0,0.1286925955988456
"25.275,55.382",25.275,55.382,1,3.8,0.0,0.2561904761904762
"25.276,55.301",25.276,55.301,2,4.0,0.0,
"25.276,55.302",25.276,55.302,2,4.4,0.5,0.35262823141099
"25.276,55.305",25.276,55.305,1,4.8,0.0,
"25.276,55.31",25.276,55.31,2,5.0,0.0,
"25.276,55.311",25.276,55.311,2,4.8,0.0,
"25.276,55.321",25.276,55.321,1,4.5,0.0,
"25.276,55.329",25.276,55.329,1,4.9,0.0,
"25.276,55.33",25.276,55.33,3,4.166666666666667,0.0,-0.0370537037037037
"25.276,55.336",25.276,55.336,2,4.2,0.0,0.5234958333333333
"25.276,55.345",25.276,55.345,1,3.7,0.0,0.0935384615384615
"25.277,55.3",25.277,55.3,1,4.3,1.0,0.4650753968253968
"25.277,55.303",25.277,55.303,1,4.5,1.0,0.2783453583453584
"25.277,55.309",25.277,55.309,2,4.5,0.0,
"25.277,55.311",25.277,55.311,1,4.3,0.0,
"25.277,55.314",25.277,55.314,1,5.0,0.0,
"25.277,55.315",25.277,55.315,1,3.8,0.0,
"25.277,55.33",25.277,55.33,1,4.2,1.0,0.2363325018896447
"25.277,55.332",25.277,55.332,1,4.1,1.0,0.3861264607343876
"25.277,55.334",25.277,55.334,1,4.2,0.0,0.1340119047619047
"25.277,55.335",25.277,55.335,1,4.5,0.0,
"25.277,55.337",25.277,55.337,2,3.4,0.0,0.039306758056758
